,Goals For,Goals Against,Avg. Goals For,Avg. Goals Against,For/Against Ratio
Angola,1,2,0.3333333333333333,0.6666666666666666,0.5
Republic of Ireland,10,10,0.7692307692307693,0.7692307692307693,1.0
Wales,4,4,0.8,0.8,1.0
East Germany,5,5,0.8333333333333334,0.8333333333333334,1.0
England,79,56,1.2741935483870968,0.9032258064516129,1.4107142857142858
Netherlands,91,49,1.6851851851851851,0.9074074074074074,1.857142857142857
Italy,128,77,1.5421686746987953,0.927710843373494,1.6623376623376624
Germany,104,46,2.1666666666666665,0.9583333333333334,2.260869565217391
Norway,7,8,0.875,1.0,0.875
Israel,1,3,0.3333333333333333,1.0,0.3333333333333333
Argentina,133,85,1.6419753086419753,1.0493827160493827,1.5647058823529412
Brazil,225,114,2.0833333333333335,1.0555555555555556,1.973684210526316
Croatia,21,17,1.3125,1.0625,1.2352941176470589
Soviet Union,53,34,1.7096774193548387,1.096774193548387,1.558823529411765
Ecuador,10,11,1.0,1.1,0.9090909090909091
Portugal,43,29,1.6538461538461537,1.1153846153846154,1.482758620689655
Spain,92,66,1.5593220338983051,1.11864406779661,1.393939393939394
France,108,72,1.7704918032786885,1.180327868852459,1.5
Senegal,7,6,1.4,1.2,1.1666666666666667
West Germany,131,77,2.1129032258064515,1.2419354838709677,1.7012987012987013
Yugoslavia,60,46,1.6216216216216217,1.2432432432432432,1.3043478260869565
Poland,44,40,1.4193548387096775,1.2903225806451613,1.1
Japan,14,22,0.8235294117647058,1.2941176470588236,0.6363636363636364
Trinidad and Tobago,0,4,0.0,1.3333333333333333,0.0
Ghana,13,16,1.0833333333333333,1.3333333333333333,0.8125
Bosnia and Herzegovina,4,4,1.3333333333333333,1.3333333333333333,1.0
Iraq,1,4,0.3333333333333333,1.3333333333333333,0.25
Czech Republic,3,4,1.0,1.3333333333333333,0.75
Morocco,12,18,0.9230769230769231,1.3846153846153846,0.6666666666666667
Ukraine,5,7,1.0,1.4,0.7142857142857143
Uruguay,80,73,1.5384615384615385,1.4038461538461537,1.0958904109589043
Paraguay,30,38,1.1111111111111112,1.4074074074074074,0.7894736842105263
Costa Rica,18,24,1.0588235294117647,1.411764705882353,0.75
Tunisia,8,17,0.6666666666666666,1.4166666666666667,0.4705882352941176
Russia,13,13,1.4444444444444444,1.4444444444444444,1.0
Colombia,29,29,1.45,1.45,1.0
Chile,41,50,1.2058823529411764,1.4705882352941178,0.82
Nigeria,20,28,1.0526315789473684,1.4736842105263157,0.7142857142857143
Sweden,74,69,1.608695652173913,1.5,1.0724637681159421
Algeria,14,21,1.0,1.5,0.6666666666666666
Czechoslovakia,44,45,1.4666666666666666,1.5,0.9777777777777777
Denmark,27,24,1.6875,1.5,1.125
Egypt,3,6,0.75,1.5,0.5
Romania,30,32,1.4285714285714286,1.5238095238095237,0.9375000000000001
Cote d'Ivoire,13,14,1.4444444444444444,1.5555555555555556,0.9285714285714285
Honduras,3,14,0.3333333333333333,1.5555555555555556,0.21428571428571427
Belgium,54,68,1.255813953488372,1.5813953488372092,0.7941176470588236
Austria,43,47,1.4827586206896552,1.6206896551724137,0.9148936170212767
Canada,0,5,0.0,1.6666666666666667,0.0
Slovenia,5,10,0.8333333333333334,1.6666666666666667,0.5
Turkey,20,17,2.0,1.7,1.1764705882352942
Mexico,58,94,1.0740740740740742,1.7407407407407407,0.6170212765957448
Slovakia,5,7,1.25,1.75,0.7142857142857143
Switzerland,45,60,1.3235294117647058,1.7647058823529411,0.75
Northern Ireland,13,23,1.0,1.7692307692307692,0.5652173913043479
South Africa,11,16,1.2222222222222223,1.7777777777777777,0.6875000000000001
Hungary,87,57,2.71875,1.78125,1.5263157894736843
Scotland,25,41,1.0869565217391304,1.7826086956521738,0.6097560975609756
Iran,7,22,0.5833333333333334,1.8333333333333333,0.31818181818181823
Cameroon,18,43,0.782608695652174,1.8695652173913044,0.4186046511627907
United States,38,64,1.1176470588235294,1.8823529411764706,0.59375
Greece,6,21,0.5454545454545454,1.9090909090909092,0.2857142857142857
Togo,1,6,0.3333333333333333,2.0,0.16666666666666666
Australia,11,26,0.8461538461538461,2.0,0.4230769230769231
Kuwait,2,6,0.6666666666666666,2.0,0.3333333333333333
Bulgaria,22,53,0.8461538461538461,2.0384615384615383,0.41509433962264153
Peru,19,31,1.2666666666666666,2.066666666666667,0.6129032258064515
South Korea,31,67,1.0,2.161290322580645,0.4626865671641791
Serbia,4,13,0.6666666666666666,2.1666666666666665,0.3076923076923077
New Zealand,4,14,0.6666666666666666,2.3333333333333335,0.2857142857142857
Saudi Arabia,9,32,0.6923076923076923,2.4615384615384617,0.28125
Jamaica,3,9,1.0,3.0,0.3333333333333333
North Korea,6,21,0.8571428571428571,3.0,0.2857142857142857
China PR,0,9,0.0,3.0,0.0
Bolivia,1,20,0.16666666666666666,3.3333333333333335,0.049999999999999996
United Arab Emirates,2,11,0.6666666666666666,3.6666666666666665,0.18181818181818182
El Salvador,1,22,0.16666666666666666,3.6666666666666665,0.045454545454545456
Cuba,5,12,1.6666666666666667,4.0,0.4166666666666667
Haiti,2,14,0.6666666666666666,4.666666666666667,0.14285714285714285
Zaire,0,14,0.0,4.666666666666667,0.0
Dutch West Indies,0,6,0.0,6.0,0.0
