,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Argentina_result_value
73,828,300186501,255959,2014-07-13,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74738.0,Finals,Germany,GER,Argentina,ARG,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,6.0
69,766,300061505,249718,2010-07-03,2010,South Africa,Cape Town,Cape Town Stadium,64100.0,Quarterfinals,Argentina,ARG,Germany,GER,0,1,0,3,0,4,Germany,1.0,0.0,3.0,0.0,4.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
64,700,97410057,97410300,2006-06-30,2006,Germany,Berlin,Olympiastadion,72000.0,Quarterfinals,Germany,GER,Argentina,ARG,0,0,1,1,1,1,Germany,0.0,0.0,1.0,1.0,1.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
57,584,43950007,43950100,2002-06-02,2002,Japan,Kashima,Kashima Stadium,34050.0,Groups,Argentina,ARG,Nigeria,NGA,0,0,1,0,1,0,Argentina,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
56,574,8784,1025,1998-07-04,1998,France,Marseille,Stade Vélodrome,55000.0,Quarterfinals,Netherlands,NED,Argentina,ARG,1,1,1,0,2,1,Netherlands,1.0,1.0,1.0,0.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
51,503,3088,338,1994-07-03,1994,United States,Pasadena,Rose Bowl,90469.0,Round of 16,Romania,ROU,Argentina,ARG,2,1,1,1,3,2,Romania,2.0,1.0,1.0,1.0,3.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
47,463,27,3462,1990-07-08,1990,Italy,Rome,Stadio Olimpico,73603.0,Finals,West Germany,FRG,Argentina,ARG,0,0,1,0,1,0,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,6.0
40,411,393,3467,1986-06-29,1986,Mexico,Mexico City,Estadio Azteca,114600.0,Finals,Argentina,ARG,West Germany,FRG,1,0,2,2,3,2,Argentina,1.0,0.0,2.0,2.0,3.0,2.0,Champion,Finals,7.0,6.0,7.0
32,346,753,294,1982-06-29,1982,Spain,Barcelona,Sarria,43000.0,Round of 16,Italy,ITA,Argentina,ARG,0,0,2,1,2,1,Italy,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
28,308,2198,639,1978-06-25,1978,Argentina,Buenos Aires,El Monumental - Estadio Monumental Antonio Vespuci,71483.0,Finals,Argentina,ARG,Netherlands,NED,0,0,3,1,3,1,Argentina,0.0,0.0,3.0,1.0,3.0,1.0,Champion,Finals,7.0,6.0,7.0
19,258,1948,263,1974-06-26,1974,Germany,Gelsenkirchen,Parkstadion,56548.0,Round of 16,Netherlands,NED,Argentina,ARG,2,0,2,0,4,0,Netherlands,2.0,0.0,2.0,0.0,4.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
15,192,1577,239,1966-07-23,1966,England,London,Wembley Stadium,90584.0,Quarterfinals,England,ENG,Argentina,ARG,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
9,138,1447,231,1962-05-30,1962,Chile,Rancagua,Estadio El Teniente-Codelco,7134.0,Groups,Argentina,ARG,Bulgaria,BUL,1,0,0,0,1,0,Argentina,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
6,103,1323,220,1958-06-08,1958,Sweden,Malmö,Malmo Stadion,31156.0,Groups,Argentina,ARG,West Germany,FRG,1,2,0,1,1,3,West Germany,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
5,21,1102,204,1934-05-27,1934,Italy,Bologna,Littorale,14000.0,Groups,Sweden,SWE,Argentina,ARG,1,1,2,1,3,2,Sweden,1.0,1.0,2.0,1.0,3.0,2.0,Groups,Groups,1.0,1.0,1.0
4,17,1087,405,1930-07-30,1930,Uruguay,Montevideo,Estadio Centenario,68346.0,Finals,Uruguay,URU,Argentina,ARG,1,2,3,0,4,2,Uruguay,1.0,2.0,3.0,0.0,4.0,2.0,Champion,Finals,7.0,6.0,6.0
