,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Belgium_result_value
39,831,300186504,255953,2014-07-05,2014,Brazil,Brasília,Estadio Nacional,68551.0,Quarterfinals,Argentina,ARG,Belgium,BEL,1,0,0,0,1,0,Argentina,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
35,633,43950054,43950200,2002-06-17,2002,Japan,Kobe,Kobe Wing Stadium,40440.0,Round of 16,Brazil,BRA,Belgium,BEL,0,0,2,0,2,0,Brazil,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
29,525,8733,1014,1998-06-13,1998,France,Saint-Denis,Stade de France,77000.0,Groups,Netherlands,NED,Belgium,BEL,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
28,500,3085,338,1994-07-02,1994,United States,Chicago,Soldier Field,60246.0,Round of 16,Germany,GER,Belgium,BEL,3,1,0,1,3,2,Germany,3.0,1.0,0.0,1.0,3.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
24,455,55,323,1990-06-26,1990,Italy,Bologna,Renato Dall Ara,34520.0,Round of 16,England,ENG,Belgium,BEL,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
20,410,422,3468,1986-06-28,1986,Mexico,Puebla,Cuauhtemoc,21000.0,Third place,France,FRA,Belgium,BEL,0,0,4,2,4,2,France,0.0,0.0,4.0,2.0,4.0,2.0,Third place,Third place,5.0,5.0,5.0
12,345,782,294,1982-06-28,1982,Spain,Barcelona,Camp Nou,65000.0,Round of 16,Poland,POL,Belgium,BEL,2,0,1,0,3,0,Poland,2.0,0.0,1.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
6,207,1747,250,1970-06-03,1970,Mexico,Mexico City,Estadio Azteca,92205.0,Groups,Belgium,BEL,El Salvador,SLV,1,0,2,0,3,0,Belgium,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
4,81,1240,211,1954-06-17,1954,Switzerland,Basel,St. Jakob,14000.0,Groups,England,ENG,Belgium,BEL,0,0,4,4,4,4,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
3,37,1146,206,1938-06-05,1938,France,Colombes,Stade Olympique,30454.0,Groups,France,FRA,Belgium,BEL,2,1,1,0,3,1,France,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
2,22,1108,204,1934-05-27,1934,Italy,Florence,Giovanni Berta,8000.0,Groups,Germany,GER,Belgium,BEL,1,2,4,0,5,2,Germany,1.0,2.0,4.0,0.0,5.0,2.0,Groups,Groups,1.0,1.0,1.0
0,1,1090,201,1930-07-13,1930,Uruguay,Montevideo,Parque Central,18346.0,Groups,United States,USA,Belgium,BEL,2,0,1,0,3,0,United States,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
