,Opponent,Result
1934-05-27,Egypt,Win
1934-05-31,Austria,Loss
1938-06-05,Dutch West Indies,Win
1938-06-12,Switzerland,Win
1938-06-16,Sweden,Win
1938-06-19,Italy,Loss
1954-06-17,South Korea,Win
1954-06-20,West Germany,Win
1954-06-27,Brazil,Win
1954-06-30,Uruguay,Win
1954-07-04,West Germany,Loss
1958-06-08,Wales,Loss
1958-06-12,Sweden,Loss
1958-06-15,Mexico,Win
1958-06-17,Wales,Loss
1962-05-31,England,Win
1962-06-03,Bulgaria,Win
1962-06-06,Argentina,Loss
1962-06-10,Czechoslovakia,Loss
1966-07-13,Portugal,Loss
1966-07-15,Brazil,Win
1966-07-20,Bulgaria,Win
1966-07-23,Soviet Union,Loss
1978-06-02,Argentina,Loss
1978-06-06,Italy,Loss
1978-06-10,France,Loss
1982-06-15,El Salvador,Win
1982-06-18,Argentina,Loss
1982-06-22,Belgium,Loss
1986-06-02,Soviet Union,Loss
1986-06-06,Canada,Win
1986-06-09,France,Loss
