,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Mexico_result_value
52,832,300186508,255951,2014-06-29,2014,Brazil,Fortaleza,Estadio Castelao,58817.0,Round of 16,Netherlands,NED,Mexico,MEX,0,0,2,1,2,1,Netherlands,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
48,759,300061502,249717,2010-06-27,2010,South Africa,Johannesburg,Soccer City Stadium,84377.0,Round of 16,Argentina,ARG,Mexico,MEX,2,0,1,1,3,1,Argentina,2.0,0.0,1.0,1.0,3.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
44,693,97410050,97410200,2006-06-24,2006,Germany,Leipzig,Zentralstadion,43000.0,Round of 16,Argentina,ARG,Mexico,MEX,0,0,2,1,2,1,Argentina,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
40,634,43950053,43950200,2002-06-17,2002,South Korea,Jeonju,Jeonju World Cup Stadium,36380.0,Round of 16,Mexico,MEX,United States,USA,0,1,0,1,0,2,United States,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
36,568,8777,1024,1998-06-29,1998,France,Montpellier,La Mosson,29800.0,Round of 16,Germany,GER,Mexico,MEX,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
32,507,3092,338,1994-07-05,1994,United States,East Rutherford,Giants Stadium,71030.0,Round of 16,Mexico,MEX,Bulgaria,BUL,0,0,1,1,1,1,Bulgaria,0.0,0.0,1.0,1.0,1.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
28,405,575,714,1986-06-21,1986,Mexico,Monterrey,Estadio Universitario,41700.0,Quarterfinals,West Germany,FRG,Mexico,MEX,0,0,0,0,0,0,West Germany,0.0,0.0,0.0,0.0,0.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
21,272,2433,278,1978-06-02,1978,Argentina,Rosario,Arroyito - Estadio Dr. Lisandro de la Torre,17396.0,Groups,Tunisia,TUN,Mexico,MEX,0,1,3,0,3,1,Tunisia,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
20,224,1882,251,1970-06-14,1970,Mexico,Toluca,Luis Dosal,26851.0,Quarterfinals,Italy,ITA,Mexico,MEX,1,1,3,0,4,1,Italy,1.0,1.0,3.0,0.0,4.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
14,172,1650,238,1966-07-13,1966,England,London,Wembley Stadium,69237.0,Groups,France,FRA,Mexico,MEX,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
11,137,1461,231,1962-05-30,1962,Chile,Viña del Mar,Estadio Sausalito,10484.0,Groups,Brazil,BRA,Mexico,MEX,0,0,2,0,2,0,Brazil,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
8,101,1415,220,1958-06-08,1958,Sweden,Solna,Rasunda Stadium,34107.0,Groups,Sweden,SWE,Mexico,MEX,1,0,2,0,3,0,Sweden,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
6,77,1249,211,1954-06-16,1954,Switzerland,Geneva,Charmilles,13470.0,Groups,Brazil,BRA,Mexico,MEX,4,0,1,0,5,0,Brazil,4.0,0.0,1.0,0.0,5.0,0.0,Groups,Groups,1.0,1.0,1.0
3,53,1187,208,1950-06-24,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,81649.0,Groups,Brazil,BRA,Mexico,MEX,1,0,3,0,4,0,Brazil,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
0,0,1096,201,1930-07-13,1930,Uruguay,Montevideo,Pocitos,4444.0,Groups,France,FRA,Mexico,MEX,3,0,1,1,4,1,France,3.0,0.0,1.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
