,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Yugoslavia_result_value
36,36,569,8778,1024,1998-06-29,1998,France,Toulouse,Stade Municipal,33500.0,Round of 16,Netherlands,NED,Yugoslavia,YUG,1,0,1,1,2,1,Netherlands,1.0,0.0,1.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
32,32,456,31,751,1990-06-30,1990,Italy,Florence,Comunale,38971.0,Quarterfinals,Yugoslavia,YUG,Argentina,ARG,0,0,0,0,0,0,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
25,25,320,1044,293,1982-06-17,1982,Spain,Zaragoza,La Romareda,25000.0,Groups,Yugoslavia,YUG,Northern Ireland,NIR,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
22,22,256,2066,263,1974-06-26,1974,Germany,Düsseldorf,Rheinstadion,67385.0,Round of 16,Yugoslavia,YUG,West Germany,FRG,0,1,0,1,0,2,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
18,18,166,1475,3481,1962-06-16,1962,Chile,Santiago,Nacional,66697.0,Third place,Chile,CHI,Yugoslavia,YUG,0,0,1,0,1,0,Chile,0.0,0.0,1.0,0.0,1.0,0.0,Third place,Third place,5.0,5.0,5.0
12,12,129,1392,221,1958-06-19,1958,Sweden,Malmö,Malmo Stadion,20055.0,Quarterfinals,West Germany,FRG,Yugoslavia,YUG,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
8,8,95,1285,212,1954-06-27,1954,Switzerland,Geneva,Charmilles,17000.0,Quarterfinals,West Germany,FRG,Yugoslavia,YUG,1,0,1,0,2,0,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
3,3,57,1230,208,1950-06-25,1950,Brazil,Belo Horizonte,Independencia,7336.0,Groups,Yugoslavia,YUG,Switzerland,SUI,0,0,3,0,3,0,Yugoslavia,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
2,2,16,1101,202,1930-07-27,1930,Uruguay,Montevideo,Estadio Centenario,79867.0,Semifinals,Uruguay,URU,Yugoslavia,YUG,3,1,3,0,6,1,Uruguay,3.0,1.0,3.0,0.0,6.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
